#Accession	ID	Type	Description	Class	subclass
RF00001	5S_rRNA	Gene;rRNA	5S ribosomal RNA	rRNA	5S_rRNA
RF00002	5_8S_rRNA	Gene;rRNA	5.8S ribosomal RNA	rRNA	5.8S_rRNA
RF00177	SSU_rRNA_bacteria	Gene;rRNA	Bacterial small subunit ribosomal RNA	rRNA	SSU_rRNA_bacteria
RF01959	SSU_rRNA_archaea	Gene;rRNA	Archaeal small subunit ribosomal RNA	rRNA	SSU_rRNA_archaea
RF01960	SSU_rRNA_eukarya	Gene;rRNA	Eukaryotic small subunit ribosomal RNA	rRNA	SSU_rRNA_eukarya
RF02540	LSU_rRNA_archaea	Gene;rRNA	Archaeal large subunit ribosomal RNA	rRNA	LSU_rRNA_archaea
RF02541	LSU_rRNA_bacteria	Gene;rRNA	Bacterial large subunit ribosomal RNA	rRNA	LSU_rRNA_bacteria
RF02542	SSU_rRNA_microsporidia	Gene;rRNA	Microsporidia small subunit ribosomal RNA	rRNA	SSU_rRNA_microsporidia
RF02543	LSU_rRNA_eukarya	Gene;rRNA	Eukaryotic large subunit ribosomal RNA	rRNA	LSU_rRNA_eukarya
RF02545	SSU_trypano_mito	Gene;rRNA	Trypanosomatid mitochondrial small subunit ribosomal RNA	rRNA	SSU_trypano_mito
RF02546	LSU_trypano_mito	Gene;rRNA	Trypanosomatid mitochondrial large subunit ribosomal RNA	rRNA	LSU_trypano_mito
RF02547	mtPerm-5S	Gene;rRNA	Permuted mitochondrial genome encoded 5S rRNA	rRNA	mtPerm-5S
RF02554	ppoRNA	Gene;rRNA	mt-5S-like P. polycephalum	rRNA	ppoRNA
RF02555	hveRNA	Gene;rRNA	mt-5S-like H. vermiformis	rRNA	hveRNA
RF00005	tRNA	Gene;tRNA	tRNA	tRNA	tRNA
RF00014	DsrA	Gene;sRNA	DsrA RNA	sRNA	sRNA
RF00018	CsrB	Gene;sRNA	CsrB/RsmB RNA family	sRNA	sRNA
RF00021	Spot_42	Gene;sRNA	Spot 42 RNA	sRNA	sRNA
RF00027	let-7	Gene;miRNA	let-7 microRNA precursor	miRNA	miRNA
RF00034	RprA	Gene;sRNA	RprA RNA	sRNA	sRNA
RF00035	OxyS	Gene;sRNA	OxyS RNA	sRNA	sRNA
RF00047	mir-2	Gene;miRNA	mir-2 microRNA precursor	miRNA	miRNA
RF00051	mir-17	Gene;miRNA	mir-17 microRNA precursor family	miRNA	miRNA
RF00052	lin-4	Gene;miRNA	lin-4 microRNA precursor	miRNA	miRNA
RF00053	mir-7	Gene;miRNA	mir-7 microRNA precursor	miRNA	miRNA
RF00057	RyhB	Gene;sRNA	RyhB RNA	sRNA	sRNA
RF00073	mir-156	Gene;miRNA	mir-156 microRNA precursor	miRNA	miRNA
RF00074	mir-29	Gene;miRNA	mir-29 microRNA precursor	miRNA	miRNA
RF00075	mir-166	Gene;miRNA	mir-166 microRNA precursor	miRNA	miRNA
RF00076	mir-181	Gene;miRNA	mir-181 microRNA precursor	miRNA	miRNA
RF00077	SraB	Gene;sRNA	SraB RNA	sRNA	sRNA
RF00078	MicA	Gene;sRNA	MicA sRNA	sRNA	sRNA
RF00079	OmrA-B	Gene;sRNA	OmrA-B family	sRNA	sRNA
RF00081	ArcZ	Gene;sRNA	ArcZ RNA	sRNA	sRNA
RF00082	SraG	Gene;sRNA	SraG RNA	sRNA	sRNA
RF00083	GlmZ_SraJ	Gene;sRNA	GlmZ RNA activator of glmS mRNA	sRNA	sRNA
RF00084	CsrC	Gene;sRNA	CsrC RNA family	sRNA	sRNA
RF00101	SraC_RyeA	Gene;sRNA	SraC/RyeA RNA	sRNA	sRNA
RF00103	mir-1	Gene;miRNA	mir-1 microRNA precursor family	miRNA	miRNA
RF00104	mir-10	Gene;miRNA	mir-10 microRNA precursor family	miRNA	miRNA
RF00110	RybB	Gene;sRNA	RybB RNA	sRNA	sRNA
RF00111	SdsR_RyeB	Gene;sRNA	SdsR_RyeB RNA	sRNA	sRNA
RF00112	CyaR_RyeE	Gene;sRNA	CyaR/Rye RNA	sRNA	sRNA
RF00115	McaS	Gene;sRNA	McaS/IsrA RNA	sRNA	sRNA
RF00116	C0465	Gene;sRNA	C0465 RNA	sRNA	sRNA
RF00117	C0719	Gene;sRNA	C0719 RNA	sRNA	sRNA
RF00118	rydB	Gene;sRNA	rydB RNA	sRNA	sRNA
RF00119	C0299	Gene;sRNA	C0299 RNA	sRNA	sRNA
RF00121	MicC	Gene;sRNA	MicC RNA	sRNA	sRNA
RF00122	GadY	Gene;sRNA	GadY	sRNA	sRNA
RF00124	IS102	Gene;sRNA	IS102 RNA	sRNA	sRNA
RF00125	IS128	Gene;sRNA	IS128 RNA	sRNA	sRNA
RF00126	ryfA	Gene;sRNA	ryfA RNA	sRNA	sRNA
RF00127	t44	Gene;sRNA	t44 RNA	sRNA	sRNA
RF00128	GlmY_tke1	Gene;sRNA	Glm Y RNA activator of glmS mRNA	sRNA	sRNA
RF00129	mir-103	Gene;miRNA	mir-103/107 microRNA precursor	miRNA	miRNA
RF00130	mir-192	Gene;miRNA	mir-192/215 microRNA precursor	miRNA	miRNA
RF00131	mir-30	Gene;miRNA	mir-30 microRNA precursor	miRNA	miRNA
RF00143	mir-6	Gene;miRNA	mir-6 microRNA precursor	miRNA	miRNA
RF00144	mir-199	Gene;miRNA	mir-199 microRNA precursor	miRNA	miRNA
RF00166	PrrB_RsmZ	Gene;sRNA	PrrB/RsmZ RNA family	sRNA	sRNA
RF00178	mir-24	Gene;miRNA	mir-24 microRNA precursor family	miRNA	miRNA
RF00195	RsmY	Gene;sRNA	RsmY RNA family	sRNA	sRNA
RF00237	mir-9	Gene;miRNA	mir-9/mir-79 microRNA precursor family	miRNA	miRNA
RF00239	mir-124	Gene;miRNA	mir-124 microRNA precursor family	miRNA	miRNA
RF00241	mir-8	Gene;miRNA	mir-8/mir-141/mir-200 microRNA precursor family	miRNA	miRNA
RF00244	mir-26	Gene;miRNA	mir-26 microRNA precursor family	miRNA	miRNA
RF00245	mir-19	Gene;miRNA	mir-19 microRNA precursor family	miRNA	miRNA
RF00246	mir-135	Gene;miRNA	mir-135 microRNA precursor family	miRNA	miRNA
RF00247	mir-160	Gene;miRNA	mir-160 microRNA precursor family	miRNA	miRNA
RF00248	mir-148	Gene;miRNA	mir-148/mir-152 microRNA precursor family	miRNA	miRNA
RF00249	mir-46	Gene;miRNA	mir-46/mir-47/mir-281 microRNA precursor family	miRNA	miRNA
RF00250	mir-TAR	Gene;miRNA	Trans-activation response element (TAR)	miRNA	miRNA
RF00251	mir-219	Gene;miRNA	mir-219 microRNA precursor family	miRNA	miRNA
RF00253	mir-101	Gene;miRNA	mir-101 microRNA precursor family	miRNA	miRNA
RF00254	mir-16	Gene;miRNA	mir-16 microRNA precursor family	miRNA	miRNA
RF00255	mir-218	Gene;miRNA	mir-218 microRNA precursor family	miRNA	miRNA
RF00256	mir-196	Gene;miRNA	mir-196 microRNA precursor family	miRNA	miRNA
RF00257	mir-194	Gene;miRNA	mir-194 microRNA precursor family	miRNA	miRNA
RF00258	mir-130	Gene;miRNA	mir-130 microRNA precursor family	miRNA	miRNA
RF00363	mir-BART1	Gene;miRNA	mir-BART1 microRNA precursor family	miRNA	miRNA
RF00364	mir-BART2	Gene;miRNA	mir-BART2 microRNA precursor family	miRNA	miRNA
RF00365	mir-BHRF1-1	Gene;miRNA	mir-BHRF1-1 microRNA precursor family	miRNA	miRNA
RF00366	mir-BHRF1-2	Gene;miRNA	mir-BHRF1-2 microRNA precursor family	miRNA	miRNA
RF00367	mir-BHRF1-3	Gene;miRNA	mir-BHRF1-3 microRNA precursor family	miRNA	miRNA
RF00368	sroB	Gene;sRNA	sroB RNA	sRNA	sRNA
RF00369	sroC	Gene;sRNA	sroC RNA	sRNA	sRNA
RF00370	sroD	Gene;sRNA	sroD RNA	sRNA	sRNA
RF00371	sroE	Gene;sRNA	sroE RNA	sRNA	sRNA
RF00372	sroH	Gene;sRNA	sroH RNA	sRNA	sRNA
RF00378	Qrr	Gene;sRNA	Qrr RNA	sRNA	sRNA
RF00444	PrrF	Gene;sRNA	PrrF RNA	sRNA	sRNA
RF00445	mir-399	Gene;miRNA	mir-399 microRNA precursor family	miRNA	miRNA
RF00446	mir-133	Gene;miRNA	mir-133 microRNA precursor family	miRNA	miRNA
RF00451	mir-395	Gene;miRNA	mir-395 microRNA precursor family	miRNA	miRNA
RF00452	mir-172	Gene;miRNA	mir-172 microRNA precursor family	miRNA	miRNA
RF00455	mir-15	Gene;miRNA	mir-15 microRNA precursor family	miRNA	miRNA
RF00456	mir-34	Gene;miRNA	mir-34 microRNA precursor family	miRNA	miRNA
RF00464	mir-92	Gene;miRNA	mir-92 microRNA precursor family	miRNA	miRNA
RF00486	mir-129	Gene;miRNA	mir-129 microRNA precursor family	miRNA	miRNA
RF00505	RydC	Gene;sRNA	RydC RNA	sRNA	sRNA
RF00519	suhB	Gene;sRNA	Makes More Granules Regulator RNA (mmgR)	sRNA	sRNA
RF00615	LhrA	Gene;sRNA	Listeria Hfq binding LhrA	sRNA	sRNA
RF00616	LhrC	Gene;sRNA	Listeria LhrC	sRNA	sRNA
RF00628	RgsA	Gene;sRNA	RgsA sRNA	sRNA	sRNA
RF00635	HAR1A	Gene;lncRNA	Highly accelerated region 1A/1B	lncRNA	lncRNA
RF00637	mir-276	Gene;miRNA	microRNA mir-276	miRNA	miRNA
RF00638	MIR159	Gene;miRNA	microRNA MIR159	miRNA	miRNA
RF00639	mir-515	Gene;miRNA	microRNA mir-515	miRNA	miRNA
RF00640	MIR167_1	Gene;miRNA	microRNA MIR167_1	miRNA	miRNA
RF00641	mir-154	Gene;miRNA	microRNA mir-154	miRNA	miRNA
RF00642	mir-23	Gene;miRNA	microRNA mir-23	miRNA	miRNA
RF00643	MIR171_1	Gene;miRNA	microRNA MIR171_1	miRNA	miRNA
RF00644	mir-27	Gene;miRNA	microRNA mir-27	miRNA	miRNA
RF00645	MIR169_2	Gene;miRNA	microRNA MIR169_2	miRNA	miRNA
RF00646	mir-204	Gene;miRNA	microRNA mir-204	miRNA	miRNA
RF00647	MIR164	Gene;miRNA	microRNA MIR164	miRNA	miRNA
RF00648	MIR396	Gene;miRNA	microRNA MIR396	miRNA	miRNA
RF00649	mir-128	Gene;miRNA	microRNA mir-128	miRNA	miRNA
RF00650	mir-153	Gene;miRNA	microRNA mir-153	miRNA	miRNA
RF00651	mir-221	Gene;miRNA	microRNA mir-221	miRNA	miRNA
RF00652	MIR478	Gene;miRNA	microRNA MIR478	miRNA	miRNA
RF00653	mir-22	Gene;miRNA	microRNA mir-22	miRNA	miRNA
RF00654	mir-216	Gene;miRNA	microRNA mir-216	miRNA	miRNA
RF00655	mir-28	Gene;miRNA	microRNA mir-28	miRNA	miRNA
RF00656	mir-205	Gene;miRNA	microRNA mir-205	miRNA	miRNA
RF00657	mir-184	Gene;miRNA	microRNA mir-184	miRNA	miRNA
RF00658	mir-21	Gene;miRNA	microRNA mir-21	miRNA	miRNA
RF00659	mir-365	Gene;miRNA	microRNA mir-365	miRNA	miRNA
RF00660	mir-214	Gene;miRNA	microRNA mir-214	miRNA	miRNA
RF00661	mir-31	Gene;miRNA	microRNA mir-31	miRNA	miRNA
RF00662	mir-132	Gene;miRNA	microRNA mir-132	miRNA	miRNA
RF00663	mir-183	Gene;miRNA	microRNA mir-183	miRNA	miRNA
RF00664	mir-223	Gene;miRNA	microRNA mir-223	miRNA	miRNA
RF00665	mir-290	Gene;miRNA	microRNA mir-290	miRNA	miRNA
RF00666	mir-32	Gene;miRNA	mir-32 microRNA precursor family	miRNA	miRNA
RF00667	mir-33	Gene;miRNA	microRNA mir-33	miRNA	miRNA
RF00668	mir-302	Gene;miRNA	microRNA mir-302	miRNA	miRNA
RF00669	mir-96	Gene;miRNA	microRNA mir-96	miRNA	miRNA
RF00670	mir-105	Gene;miRNA	mir-105 microRNA precursor family	miRNA	miRNA
RF00671	mir-138	Gene;miRNA	microRNA mir-138	miRNA	miRNA
RF00672	mir-190	Gene;miRNA	microRNA mir-190	miRNA	miRNA
RF00673	mir-217	Gene;miRNA	microRNA mir-217	miRNA	miRNA
RF00674	mir-187	Gene;miRNA	microRNA mir-187	miRNA	miRNA
RF00675	mir-145	Gene;miRNA	microRNA mir-145	miRNA	miRNA
RF00676	mir-127	Gene;miRNA	microRNA mir-127	miRNA	miRNA
RF00677	MIR168	Gene;miRNA	microRNA MIR168	miRNA	miRNA
RF00678	mir-140	Gene;miRNA	microRNA mir-140	miRNA	miRNA
RF00679	mir-210	Gene;miRNA	microRNA mir-210	miRNA	miRNA
RF00680	mir-224	Gene;miRNA	mir-224 microRNA precursor family	miRNA	miRNA
RF00681	mir-198	Gene;miRNA	mir-198 microRNA precursor family	miRNA	miRNA
RF00682	mir-144	Gene;miRNA	microRNA mir-144	miRNA	miRNA
RF00683	mir-143	Gene;miRNA	microRNA mir-143	miRNA	miRNA
RF00684	mir-122	Gene;miRNA	mir-122 microRNA precursor	miRNA	miRNA
RF00685	mir-36	Gene;miRNA	microRNA mir-36	miRNA	miRNA
RF00686	mir-338	Gene;miRNA	microRNA mir-338	miRNA	miRNA
RF00687	mir-136	Gene;miRNA	microRNA mir-136	miRNA	miRNA
RF00688	MIR394	Gene;miRNA	microRNA MIR394	miRNA	miRNA
RF00689	MIR390	Gene;miRNA	microRNA MIR390	miRNA	miRNA
RF00690	MIR408	Gene;miRNA	microRNA MIR408	miRNA	miRNA
RF00691	mir-146	Gene;miRNA	microRNA mir-146	miRNA	miRNA
RF00692	MIR171_2	Gene;miRNA	microRNA MIR171_2	miRNA	miRNA
RF00693	mir-147	Gene;miRNA	microRNA mir-147	miRNA	miRNA
RF00694	mir-137	Gene;miRNA	microRNA mir-137	miRNA	miRNA
RF00695	MIR398	Gene;miRNA	microRNA MIR398	miRNA	miRNA
RF00696	mir-203	Gene;miRNA	microRNA mir-203	miRNA	miRNA
RF00697	mir-186	Gene;miRNA	microRNA mir-186	miRNA	miRNA
RF00698	mir-489	Gene;miRNA	microRNA mir-489	miRNA	miRNA
RF00699	mir-134	Gene;miRNA	microRNA mir-134	miRNA	miRNA
RF00700	mir-375	Gene;miRNA	microRNA mir-375	miRNA	miRNA
RF00701	mir-126	Gene;miRNA	microRNA mir-126	miRNA	miRNA
RF00702	mir-182	Gene;miRNA	microRNA mir-182	miRNA	miRNA
RF00703	mir-139	Gene;miRNA	microRNA mir-139	miRNA	miRNA
RF00704	MIR397	Gene;miRNA	microRNA MIR397	miRNA	miRNA
RF00705	mir-202	Gene;miRNA	microRNA mir-202	miRNA	miRNA
RF00706	mir-263	Gene;miRNA	mir-263 microRNA precursor family	miRNA	miRNA
RF00707	mir-197	Gene;miRNA	microRNA mir-197	miRNA	miRNA
RF00708	mir-450	Gene;miRNA	microRNA mir-450	miRNA	miRNA
RF00709	mir-455	Gene;miRNA	mir-455 microRNA precursor family	miRNA	miRNA
RF00710	mir-44	Gene;miRNA	microRNA mir-44	miRNA	miRNA
RF00711	mir-449	Gene;miRNA	microRNA mir-449	miRNA	miRNA
RF00712	mir-460	Gene;miRNA	microRNA mir-460	miRNA	miRNA
RF00713	mir-239	Gene;miRNA	microRNA mir-239	miRNA	miRNA
RF00714	MIR535	Gene;miRNA	microRNA MIR535	miRNA	miRNA
RF00715	mir-383	Gene;miRNA	microRNA mir-383	miRNA	miRNA
RF00716	mir-3	Gene;miRNA	microRNA mir-3	miRNA	miRNA
RF00717	mir-315	Gene;miRNA	microRNA mir-315	miRNA	miRNA
RF00718	mir-431	Gene;miRNA	mir-431 microRNA precursor family	miRNA	miRNA
RF00719	mir-326	Gene;miRNA	microRNA mir-326	miRNA	miRNA
RF00720	mir-317	Gene;miRNA	microRNA mir-317	miRNA	miRNA
RF00721	MIR475	Gene;miRNA	microRNA MIR475	miRNA	miRNA
RF00722	mir-451	Gene;miRNA	microRNA mir-451	miRNA	miRNA
RF00723	mir-448	Gene;miRNA	mir-448 microRNA precursor family	miRNA	miRNA
RF00724	mir-282	Gene;miRNA	microRNA mir-282	miRNA	miRNA
RF00725	mir-iab-4	Gene;miRNA	mir-iab-4 microRNA precursor family	miRNA	miRNA
RF00726	mir-87	Gene;miRNA	mir-87 microRNA precursor family	miRNA	miRNA
RF00727	bantam	Gene;miRNA	microRNA bantam	miRNA	miRNA
RF00728	mir-81	Gene;miRNA	microRNA mir-81	miRNA	miRNA
RF00729	mir-278	Gene;miRNA	microRNA mir-278	miRNA	miRNA
RF00730	mir-277	Gene;miRNA	microRNA mir-277	miRNA	miRNA
RF00731	mir-155	Gene;miRNA	microRNA mir-155	miRNA	miRNA
RF00732	mir-305	Gene;miRNA	microRNA mir-305	miRNA	miRNA
RF00733	mir-296	Gene;miRNA	microRNA mir-296	miRNA	miRNA
RF00734	mir-52	Gene;miRNA	microRNA mir-52	miRNA	miRNA
RF00735	mir-367	Gene;miRNA	microRNA mir-367	miRNA	miRNA
RF00736	mir-320	Gene;miRNA	mir-320 microRNA precursor family	miRNA	miRNA
RF00737	mir-322	Gene;miRNA	microRNA mir-322	miRNA	miRNA
RF00739	MIR476	Gene;miRNA	MIR476 microRNA precursor family	miRNA	miRNA
RF00740	mir-370	Gene;miRNA	mir-370 microRNA precursor family	miRNA	miRNA
RF00741	mir-378	Gene;miRNA	microRNA mir-378	miRNA	miRNA
RF00742	MIR162_2	Gene;miRNA	microRNA MIR162_2	miRNA	miRNA
RF00743	mir-308	Gene;miRNA	microRNA mir-308	miRNA	miRNA
RF00744	mir-361	Gene;miRNA	microRNA mir-361	miRNA	miRNA
RF00745	mir-499	Gene;miRNA	microRNA mir-499	miRNA	miRNA
RF00746	mir-454	Gene;miRNA	microRNA mir-454	miRNA	miRNA
RF00747	mir-283	Gene;miRNA	microRNA mir-283	miRNA	miRNA
RF00748	mir-433	Gene;miRNA	mir-433 microRNA precursor family	miRNA	miRNA
RF00749	mir-208	Gene;miRNA	microRNA mir-208	miRNA	miRNA
RF00750	mir-458	Gene;miRNA	microRNA mir-458	miRNA	miRNA
RF00751	mir-12	Gene;miRNA	microRNA mir-12	miRNA	miRNA
RF00752	mir-14	Gene;miRNA	microRNA mir-14	miRNA	miRNA
RF00753	mir-503	Gene;miRNA	microRNA mir-503	miRNA	miRNA
RF00754	mir-279	Gene;miRNA	microRNA mir-279	miRNA	miRNA
RF00755	mir-542	Gene;miRNA	microRNA mir-542	miRNA	miRNA
RF00756	mir-299	Gene;miRNA	microRNA mir-299	miRNA	miRNA
RF00757	mir-275	Gene;miRNA	microRNA mir-275	miRNA	miRNA
RF00758	mir-346	Gene;miRNA	mir-346 microRNA precursor family	miRNA	miRNA
RF00760	mir-342	Gene;miRNA	mir-342 microRNA precursor family	miRNA	miRNA
RF00761	mir-340	Gene;miRNA	microRNA mir-340	miRNA	miRNA
RF00762	mir-412	Gene;miRNA	microRNA mir-412	miRNA	miRNA
RF00763	mir-339	Gene;miRNA	microRNA mir-339	miRNA	miRNA
RF00764	mir-191	Gene;miRNA	microRNA mir-191	miRNA	miRNA
RF00765	mir-337	Gene;miRNA	mir-337 microRNA precursor family	miRNA	miRNA
RF00766	mir-335	Gene;miRNA	microRNA mir-335	miRNA	miRNA
RF00767	mir-150	Gene;miRNA	microRNA mir-150	miRNA	miRNA
RF00768	MIR405	Gene;miRNA	microRNA MIR405	miRNA	miRNA
RF00769	mir-331	Gene;miRNA	microRNA mir-331	miRNA	miRNA
RF00770	mir-330	Gene;miRNA	microRNA mir-330	miRNA	miRNA
RF00771	mir-185	Gene;miRNA	microRNA mir-185	miRNA	miRNA
RF00772	mir-328	Gene;miRNA	microRNA mir-328	miRNA	miRNA
RF00773	mir-298	Gene;miRNA	microRNA mir-298	miRNA	miRNA
RF00774	mir-360	Gene;miRNA	microRNA mir-360	miRNA	miRNA
RF00775	mir-432	Gene;miRNA	microRNA mir-432	miRNA	miRNA
RF00776	mir-540	Gene;miRNA	microRNA mir-540	miRNA	miRNA
RF00777	mir-541	Gene;miRNA	mir-541 microRNA precursor family	miRNA	miRNA
RF00778	MIR473	Gene;miRNA	microRNA MIR473	miRNA	miRNA
RF00779	MIR474	Gene;miRNA	microRNA MIR474	miRNA	miRNA
RF00780	MIR477	Gene;miRNA	microRNA MIR477	miRNA	miRNA
RF00781	mir-505	Gene;miRNA	microRNA mir-505	miRNA	miRNA
RF00782	MIR480	Gene;miRNA	microRNA MIR480	miRNA	miRNA
RF00783	mir-484	Gene;miRNA	microRNA mir-484	miRNA	miRNA
RF00784	mir-486	Gene;miRNA	microRNA mir-486	miRNA	miRNA
RF00785	mir-90	Gene;miRNA	microRNA mir-90	miRNA	miRNA
RF00786	mir-289	Gene;miRNA	mir-289 microRNA precursor family	miRNA	miRNA
RF00787	mir-288	Gene;miRNA	mir-288 microRNA precursor family	miRNA	miRNA
RF00788	mir-287	Gene;miRNA	microRNA mir-287	miRNA	miRNA
RF00789	mir-286	Gene;miRNA	microRNA mir-286	miRNA	miRNA
RF00790	mir-358	Gene;miRNA	mir-358 microRNA precursor family	miRNA	miRNA
RF00791	mir-357	Gene;miRNA	microRNA mir-357	miRNA	miRNA
RF00792	mir-490	Gene;miRNA	microRNA mir-490	miRNA	miRNA
RF00793	mir-497	Gene;miRNA	microRNA mir-497	miRNA	miRNA
RF00794	mir-42	Gene;miRNA	microRNA mir-42	miRNA	miRNA
RF00795	mir-43	Gene;miRNA	microRNA mir-43	miRNA	miRNA
RF00796	mir-48	Gene;miRNA	microRNA mir-48	miRNA	miRNA
RF00797	mir-355	Gene;miRNA	microRNA mir-355	miRNA	miRNA
RF00798	mir-49	Gene;miRNA	microRNA mir-49	miRNA	miRNA
RF00799	mir-354	Gene;miRNA	mir-354 microRNA precursor family	miRNA	miRNA
RF00801	mir-280	Gene;miRNA	microRNA mir-280	miRNA	miRNA
RF00802	mir-207	Gene;miRNA	microRNA mir-207	miRNA	miRNA
RF00803	mir-425	Gene;miRNA	microRNA mir-425	miRNA	miRNA
RF00804	mir-240	Gene;miRNA	microRNA mir-240	miRNA	miRNA
RF00805	mir-351	Gene;miRNA	microRNA mir-351	miRNA	miRNA
RF00806	mir-350	Gene;miRNA	microRNA mir-350	miRNA	miRNA
RF00807	mir-314	Gene;miRNA	microRNA mir-314	miRNA	miRNA
RF00808	mir-86	Gene;miRNA	microRNA mir-86	miRNA	miRNA
RF00809	mir-241	Gene;miRNA	microRNA mir-241	miRNA	miRNA
RF00810	mir-85	Gene;miRNA	microRNA mir-85	miRNA	miRNA
RF00811	mir-84	Gene;miRNA	microRNA mir-84	miRNA	miRNA
RF00812	mir-83	Gene;miRNA	microRNA mir-83	miRNA	miRNA
RF00813	mir-11	Gene;miRNA	mir-11 microRNA precursor family	miRNA	miRNA
RF00814	mir-316	Gene;miRNA	microRNA mir-316	miRNA	miRNA
RF00815	mir-244	Gene;miRNA	microRNA mir-244	miRNA	miRNA
RF00816	mir-245	Gene;miRNA	microRNA mir-245	miRNA	miRNA
RF00817	mir-80	Gene;miRNA	microRNA mir-80	miRNA	miRNA
RF00818	mir-318	Gene;miRNA	microRNA mir-318	miRNA	miRNA
RF00819	mir-246	Gene;miRNA	microRNA mir-246	miRNA	miRNA
RF00820	mir-248	Gene;miRNA	mir-248 microRNA precursor family	miRNA	miRNA
RF00821	mir-249	Gene;miRNA	mir-249 microRNA precursor family	miRNA	miRNA
RF00822	mir-274	Gene;miRNA	microRNA mir-274	miRNA	miRNA
RF00823	lsy-6	Gene;miRNA	lsy-6 microRNA precursor family	miRNA	miRNA
RF00824	mir-50	Gene;miRNA	microRNA mir-50	miRNA	miRNA
RF00825	mir-344	Gene;miRNA	microRNA mir-344	miRNA	miRNA
RF00826	mir-55	Gene;miRNA	microRNA mir-55	miRNA	miRNA
RF00827	mir-77	Gene;miRNA	microRNA mir-77	miRNA	miRNA
RF00828	mir-75	Gene;miRNA	microRNA mir-75	miRNA	miRNA
RF00829	mir-149	Gene;miRNA	microRNA mir-149	miRNA	miRNA
RF00830	mir-74	Gene;miRNA	microRNA mir-74	miRNA	miRNA
RF00831	mir-73	Gene;miRNA	microRNA mir-73	miRNA	miRNA
RF00832	mir-71	Gene;miRNA	microRNA mir-71	miRNA	miRNA
RF00833	mir-70	Gene;miRNA	microRNA mir-70	miRNA	miRNA
RF00834	mir-268	Gene;miRNA	microRNA mir-268	miRNA	miRNA
RF00835	mir-58	Gene;miRNA	microRNA mir-58	miRNA	miRNA
RF00836	mir-250	Gene;miRNA	microRNA mir-250	miRNA	miRNA
RF00837	mir-251	Gene;miRNA	microRNA mir-251	miRNA	miRNA
RF00838	mir-252	Gene;miRNA	microRNA mir-252	miRNA	miRNA
RF00839	mir-452	Gene;miRNA	microRNA mir-452	miRNA	miRNA
RF00840	mir-374	Gene;miRNA	microRNA mir-374	miRNA	miRNA
RF00841	mir-384	Gene;miRNA	microRNA mir-384	miRNA	miRNA
RF00842	MIR403	Gene;miRNA	microRNA MIR403	miRNA	miRNA
RF00843	mir-228	Gene;miRNA	microRNA mir-228	miRNA	miRNA
RF00844	mir-67	Gene;miRNA	microRNA mir-67	miRNA	miRNA
RF00845	MIR158	Gene;miRNA	MIR158 microRNA precursor family	miRNA	miRNA
RF00846	mir-64	Gene;miRNA	microRNA mir-64	miRNA	miRNA
RF00847	mir-62	Gene;miRNA	mir-62 microRNA precursor family	miRNA	miRNA
RF00848	mir-61	Gene;miRNA	microRNA mir-61	miRNA	miRNA
RF00849	mir-60	Gene;miRNA	microRNA mir-60	miRNA	miRNA
RF00850	mir-259	Gene;miRNA	microRNA mir-259	miRNA	miRNA
RF00851	mir-230	Gene;miRNA	microRNA mir-230	miRNA	miRNA
RF00852	mir-231	Gene;miRNA	microRNA mir-231	miRNA	miRNA
RF00853	mir-304	Gene;miRNA	microRNA mir-304	miRNA	miRNA
RF00854	mir-5	Gene;miRNA	microRNA mir-5	miRNA	miRNA
RF00855	mir-254	Gene;miRNA	microRNA mir-254	miRNA	miRNA
RF00856	mir-232	Gene;miRNA	microRNA mir-232	miRNA	miRNA
RF00857	mir-233	Gene;miRNA	microRNA mir-233	miRNA	miRNA
RF00858	mir-306	Gene;miRNA	microRNA mir-306	miRNA	miRNA
RF00859	mir-234	Gene;miRNA	microRNA mir-234	miRNA	miRNA
RF00861	mir-488	Gene;miRNA	microRNA mir-488	miRNA	miRNA
RF00862	mir-491	Gene;miRNA	microRNA mir-491	miRNA	miRNA
RF00863	mir-BART17	Gene;miRNA	microRNA mir-BART17	miRNA	miRNA
RF00864	mir-BART20	Gene;miRNA	mir-BART20 microRNA precursor family	miRNA	miRNA
RF00865	MIR169_5	Gene;miRNA	microRNA MIR169_5	miRNA	miRNA
RF00866	mir-BART3	Gene;miRNA	mir-BART3 microRNA precursor family	miRNA	miRNA
RF00867	mir-BART5	Gene;miRNA	mir-BART5 microRNA precursor family	miRNA	miRNA
RF00868	mir-BART15	Gene;miRNA	mir-BART15 microRNA precursor family	miRNA	miRNA
RF00869	mir-BART7	Gene;miRNA	microRNA mir-BART7	miRNA	miRNA
RF00870	mir-423	Gene;miRNA	microRNA mir-423	miRNA	miRNA
RF00872	mir-652	Gene;miRNA	microRNA mir-652	miRNA	miRNA
RF00873	mir-550	Gene;miRNA	microRNA mir-550	miRNA	miRNA
RF00874	mir-BART12	Gene;miRNA	microRNA mir-BART12	miRNA	miRNA
RF00875	mir-692	Gene;miRNA	microRNA mir-692	miRNA	miRNA
RF00876	mir-684	Gene;miRNA	microRNA mir-684	miRNA	miRNA
RF00877	mir-592	Gene;miRNA	microRNA mir-592	miRNA	miRNA
RF00878	mir-456	Gene;miRNA	microRNA mir-456	miRNA	miRNA
RF00879	mir-615	Gene;miRNA	microRNA mir-615	miRNA	miRNA
