#Accession	ID	Type	Description	Class	subclass
RF04076	mir-H11	Gene;miRNA	mir-H11 microRNA precursor family	miRNA	miRNA
RF04077	mir-1245	Gene;miRNA	mir-1245 microRNA precursor family	miRNA	miRNA
RF04078	mir-1905	Gene;miRNA	mir-1905 microRNA precursor family	miRNA	miRNA
RF04079	MIR161	Gene;miRNA	MIR161 microRNA precursor family	miRNA	miRNA
RF04080	mir-762	Gene;miRNA	mir-762 microRNA precursor family	miRNA	miRNA
RF04081	mir-1992	Gene;miRNA	mir-1992 microRNA precursor family	miRNA	miRNA
RF04082	mir-54	Gene;miRNA	mir-54 microRNA precursor family	miRNA	miRNA
RF04083	MIR528	Gene;miRNA	MIR528 microRNA precursor family	miRNA	miRNA
RF04084	mir-595	Gene;miRNA	mir-595 microRNA precursor family	miRNA	miRNA
RF04085	mir-1271	Gene;miRNA	mir-1271 microRNA precursor family	miRNA	miRNA
RF04087	MIR5565	Gene;miRNA	MIR5565 microRNA precursor family	miRNA	miRNA
RF04088	MIR812	Gene;miRNA	MIR812 microRNA precursor family	miRNA	miRNA
RF04089	mir-753	Gene;miRNA	mir-753 microRNA precursor family	miRNA	miRNA
RF04090	mir-6529	Gene;miRNA	mir-6529 microRNA precursor family	miRNA	miRNA
RF04091	mir-72	Gene;miRNA	mir-72 microRNA precursor family	miRNA	miRNA
RF04092	MIR1508	Gene;miRNA	MIR1508 microRNA precursor family	miRNA	miRNA
RF04093	mir-1784	Gene;miRNA	mir-1784 microRNA precursor family	miRNA	miRNA
RF04094	MIR537	Gene;miRNA	MIR537 microRNA precursor family	miRNA	miRNA
RF04095	MIR9746	Gene;miRNA	MIR9746 microRNA precursor family	miRNA	miRNA
RF04096	mir-4433	Gene;miRNA	mir-4433 microRNA precursor family	miRNA	miRNA
RF04097	MIR2630	Gene;miRNA	MIR2630 microRNA precursor family	miRNA	miRNA
RF04098	MIR9471	Gene;miRNA	MIR9471 microRNA precursor family	miRNA	miRNA
RF04099	MIR837	Gene;miRNA	MIR837 microRNA precursor family	miRNA	miRNA
RF04100	mir-493	Gene;miRNA	mir-493 microRNA precursor family	miRNA	miRNA
RF04101	mir-8864	Gene;miRNA	mir-8864 microRNA precursor family	miRNA	miRNA
RF04102	MIR6457	Gene;miRNA	MIR6457 microRNA precursor family	miRNA	miRNA
RF04103	mir-8356	Gene;miRNA	mir-8356 microRNA precursor family	miRNA	miRNA
RF04104	MIR918	Gene;miRNA	MIR918 microRNA precursor family	miRNA	miRNA
RF04105	mir-3165	Gene;miRNA	mir-3165 microRNA precursor family	miRNA	miRNA
RF04106	mir-1303	Gene;miRNA	mir-1303 microRNA precursor family	miRNA	miRNA
RF04107	mir-5391	Gene;miRNA	mir-5391 microRNA precursor family	miRNA	miRNA
RF04108	mir-2513	Gene;miRNA	mir-2513 microRNA precursor family	miRNA	miRNA
RF04109	mir-1305	Gene;miRNA	mir-1305 microRNA precursor family	miRNA	miRNA
